Name,Volume,Price
Talisker 18 years,                      1 litre,"Ksh 12,499"
Wild geese limited edition irish whiskey,                      700 ml,"Ksh 12,499"
Johnnie walker explorers club collection the gold route,                      750 ml,"Ksh 12,499"
Singleton dufftown 18 years,                      750 ml,"Ksh 12,500"
Glenfiddich select cask,                      1 litre,"Ksh 12,999"
Laphroaig px cask,                      700 ml,"Ksh 12,999"
Cardhu 15 Year Old Scotch,                      1 litre,"Ksh 12,999"
Jameson gold reserve,                      700 ml,"Ksh 12,999"
Jim beam signature craft,                      1 litre,"Ksh 12,999"
Glenmorangie 12 years accord bourbon & sherry casks,                      750 ml,"Ksh 12,999"
Taylor small batch,                      750 ml,"Ksh 12,999"
Auchentoshan 18 years,                      700 ml,"Ksh 12,999"
Smokehead rum rebel,                      700 ml,"Ksh 12,999"
Glenfiddich 15 years,                      1 litre,"Ksh 12,999"
The macallan quest,                      1 litre,"Ksh 12,999"
Nikka coffey grain whisky,                      700 ml,"Ksh 12,999"
Dewars 18 years,                      750 ml,"Ksh 12,999"
Nikka coffey malt whisky,                      700 ml,"Ksh 12,999"
The dalmore 12 years,                      750 ml,"Ksh 12,999"
Singleton glendullan double matured,                      1 litre,"Ksh 13,000"
Dalwhinnie 15 years,                      1 litre,"Ksh 13,000"
Glenlivet 15 years,                      1 litre,"Ksh 13,500"
Highland park einar,                      1 litre,"Ksh 13,990"
Suntory whisky special reserve,                      750 ml,"Ksh 13,999"
Paul john classic select cask indian single malt whisky,                      750 ml,"Ksh 13,999"
Togouchi 9 years,                      700 ml,"Ksh 13,999"
Johnnie walker red label 4.5 Litres king size,                      4.5 litres,"Ksh 13,999"
Jura 18,                      700 ml,"Ksh 13,999"
The macallan 12 years fine oak double cask,                      750 ml,"Ksh 13,999"
Bowmore 17 years white sands,                      700 ml,"Ksh 13,999"
Jack daniels no 27 gold,                      700 ml,"Ksh 13,999"
Aultmore 18 Years,                      700 ml,"Ksh 13,999"
Buchanan's special reserve 18 years,                      750 ml,"Ksh 13,999"
Macallan 12 years fine oak triple cask,                      750 ml,"Ksh 13,999"
Bowmore 15 Years,                      1 litre,"Ksh 13,999"
Oban Little Bay,                      1 litre,"Ksh 13,999"
Glenfarclas 18 years,                      750 ml,"Ksh 14,000"
The famous grouse  4.5 Litres king size,                      4.5 litres,"Ksh 14,000"
Glenmorangie nectar dor 12 years,                      700 ml,"Ksh 14,000"
Laphroaig qa cask,                      1 litre,"Ksh 14,000"
Chita suntory whisky,                      750 ml,"Ksh 14,000"
The dalmore 15 years,                      700 ml,"Ksh 14,459"
Talisker 57 North,                      1 litre,"Ksh 14,499"
Kurayoshi pure malt sherry cask,                      750 ml,"Ksh 14,499"
Oban distillers edition,                      750 ml,"Ksh 14,499"
Glenmorangie companta,                      750 ml,"Ksh 14,499"
Oban Bay Reserve game of thrones,                      750 ml,"Ksh 14,499"
The Macallan Double Cask Gold,                      700 ml,"Ksh 14,599"
The macallan amber,                      750 ml,"Ksh 14,999"
Paul john peated select cask indian single malt whisky,                      700 ml,"Ksh 14,999"
Auchentoshan blood oak,                      1 litre,"Ksh 14,999"
Mortlach 16 years,                      750 ml,"Ksh 14,999"
Blantons Gold Edition,                      750 ml,"Ksh 14,999"
Tomintoul 14 years,                      700 ml,"Ksh 14,999"
Glenfiddich Perpetual Collection - Vat 02 Rich & Dark,                      1 litre,"Ksh 14,999"
Glenfiddich Perpetual Collection - Vat 01  smooth & mellow,                      1 litre,"Ksh 14,999"
Amrut peated single malt whisky,                      700 ml,"Ksh 14,999"
Macallan 12 years triple cask special edition,                      750 ml,"Ksh 14,999"
Amrut indian single malt whisky,                      700 ml,"Ksh 14,999"
Glenmorangie tarlogan,                      700 ml,"Ksh 14,999"
Jura the paps 19 years,                      750 ml,"Ksh 14,999"
Highland 16 wings of the eagle,                      750 ml,"Ksh 14,999"
Wolfburn langskip,                      700 ml,"Ksh 14,999"
