Name,Price,Liquor Type
SANDEMAN FINE TAWNY PORT 1LTR(19.5%),"KSh2,500.00",Wine
SANDEMAN FINE TAWNY PORT 750ML(19.5%),"KSh2,500.00",Wine
SANDEMAN FINE RUBY PORT 750ML(19.5%),"KSh2,500.00",Wine
NABYGELEGEN UPPER VALLEY CHENIN BLANC 750ML(12%),"KSh2,500.00",Wine
KEN FORRESTER SAUVIGNON BLANC 750M(13%),"KSh2,570.00",Wine
BELLINGHAM CHARDONNAY VIOGNIER 750ML(14%),"KSh2,460.00",Wine
GATO NEGRO CHARDONNAY 1.5 LITRES(13%),"KSh2,400.00",Wine
CARLO ROSSI SWEET RED 1.5LTRS(9%),"KSh2,400.00",Wine
TRUMPETER MALBEC 750ML(14%),"KSh2,400.00",Wine
GATO NEGRO MERLOT 1.5 LITRES(13%),"KSh2,400.00",Wine
TEPERBERG SWEET RED MOSCATO 2021 750ML(5.5%),"KSh2,360.00",Wine
TEPERBERG VISION MALBEC (ORGANIC WINE) 750ML(13%),"KSh2,500.00",Wine
TEPERBERG VISION CABERNET SAUVIGNON (ORGANIC WINE) 750ML(13%),"KSh2,350.00",Wine
GATO NEGRO CABERNET SAUVIGNON 1.5LTRS(13%),"KSh2,350.00",Wine
TEPERBERG VISION MERLOT(ORGANIC WINE) 750ML(13%),"KSh2,600.00",Wine
GRAN MIRADOR RED BLEND 750ML(12%),"KSh2,300.00",Wine
GRAN MIRADOR DARK BLEND 750ML(12.5%),"KSh2,700.00",Wine
CULEMBORG CAPE RED 1.5 LITRES (13%),"KSh2,300.00",Wine
CULEMBORG CAPE WHITE 1.5 LITRES(12.5%),"KSh2,280.00",Wine
SNOW MOUNTAIN CHARDONNAY 750ML(14%),"KSh2,270.00",Wine
NEDERBURG CABERNET SAUVIGNON DRY RED 750ML(14.5%),"KSh2,500.00",Wine
NEDERBURG PINOTAGE DRY RED 750ML(14%),"KSh2,250.00",Wine
NEDERBURG MERLOT DRY RED 750ML(14%),"KSh2,250.00",Wine
NEDERBURG SHIRAZ 750ML(14%),"KSh2,250.00",Wine
NABYGELEGEN WELLINGTON CHENIN BLANC 750ML (13.5%),"KSh2,250.00",Wine
CASTILLO VAREZ CABERNET SAUVIGNON 3LTRS(13.5%),"KSh2,250.00",Wine
DOUGLAS GREEN CAPE RUBY 750ML(19.6%),"KSh2,250.00",Wine
FRONTERA CABERNET SAUVIGNON 1.5LTRS(12%),"KSh2,250.00",Wine
FRONTERA CHARDONNAY 1.5 LITRES(12%),"KSh2,250.00",Wine
FRONTERA MERLOT 1.5 LITRES(12.5%),"KSh2,250.00",Wine
CARLO ROSSI SANGRIA 1.5LTRS(10%),"KSh2,200.00",Wine
BOLAND CELLAR FIVE CLIMATES MERLOT 750ML(14%),"KSh2,200.00",Wine
FRONTERA SAUVIGNON BLANC 1.5 LITRES(12%),"KSh2,200.00",Wine
CASILLERO DEL DIABLO CABERNET SAUVIGNON 750ML(13.5%),"KSh2,170.00",Wine
MUCHO MÁS RED 750ML (14%),"KSh2,400.00",Wine
SNOW MOUNTAIN SYRAH 750ML(14.5%),"KSh2,130.00",Wine
CANTI PROSECCO ICE 750ML(11%),"KSh2,100.00",Wine
ROBERTSON WHITE 1.5LTRS(8%),"KSh2,100.00",Wine
MARQUES SYRAH 750ML(14%),"KSh2,100.00",Wine
ARGENTO RESERVA MALBEC 2018 750ML(14.5%),"KSh2,100.00",Wine
PAVILLION BOSCHENDAL SHIRAZ CABERNET SAUVIGNON 750ML(14%),"KSh2,100.00",Wine
ROBERTSON NATURAL SWEET RED 1.5LTRS(8%),"KSh2,100.00",Wine
SIMONSIG CHENIN BLANC DRY WHITE 750ML(13.5%),"KSh2,100.00",Wine
SIMONSIG VIN DE LIZA DESSERT WINE 375ML(12.28%),"KSh2,100.00",Wine
SAINT CELINE SWEET RED 1.5 LITRE(8%),"KSh2,100.00",Wine
FOUR COUSINS SWEET RED 1.5LTRS(8%),"KSh2,090.00",Wine
NABYGELEGEN UPPER VALLEY SCARAMANGA 1.5L(12%),"KSh2,080.00",Wine
CASILLERO DEL DIABLO MERLOT 750ML(13.5%),"KSh2,050.00",Wine
CASILLERO DEL DIABLO MALBEC 750ML(13.5%),"KSh2,050.00",Wine
CASILLERO DEL DIABLO CHARDONAY 750ML(13.5%),"KSh2,050.00",Wine
CASILLERO DEL DIABLO SAUVIGNON BLANC 750ML(13.5%),"KSh2,050.00",Wine
ZAPALLARES CARMENERE 1.5LTRS(13.5%),"KSh2,050.00",Wine
